account_id;district_id;frequency;date;Account_type
1;18;POPLATEK MESICNE;1995-03-24;NRI account
2;1;POPLATEK MESICNE;1993-02-26;Salary account
3;5;POPLATEK MESICNE;1997-07-07;NRI account
4;12;POPLATEK MESICNE;1996-02-21;Salary account
5;15;POPLATEK MESICNE;1997-05-30;Savings account
6;51;POPLATEK MESICNE;1994-09-27;Salary account
7;60;POPLATEK MESICNE;1996-11-24;Salary account
8;57;POPLATEK MESICNE;1995-09-21;Savings account
9;70;POPLATEK MESICNE;1993-01-27;Salary account
10;54;POPLATEK MESICNE;1996-08-28;NRI account
11;76;POPLATEK MESICNE;1995-10-10;Salary account
12;21;POPLATEK MESICNE;1997-04-15;Savings account
13;76;POPLATEK MESICNE;1997-08-17;Salary account
14;47;POPLATEK MESICNE;1996-11-27;Salary account
15;70;POPLATEK MESICNE;1993-10-02;Savings account
16;12;POPLATEK MESICNE;1997-09-23;Savings account
17;1;POPLATEK MESICNE;1997-01-08;NRI account
18;43;POPLATEK TYDNE;1993-05-26;Savings account
19;21;POPLATEK MESICNE;1995-04-07;Salary account
20;74;POPLATEK MESICNE;1996-08-24;Savings account
21;54;POPLATEK MESICNE;1997-12-06;Salary account
22;1;POPLATEK MESICNE;1994-03-23;NRI account
23;30;POPLATEK MESICNE;1993-05-22;Savings account
24;74;POPLATEK MESICNE;1996-12-05;Salary account
25;68;POPLATEK MESICNE;1996-07-28;NRI account
26;52;POPLATEK MESICNE;1993-08-08;Savings account
27;73;POPLATEK MESICNE;1993-09-26;Savings account
29;7;POPLATEK MESICNE;1994-11-24;Savings account
30;36;POPLATEK MESICNE;1995-03-04;Salary account
31;68;POPLATEK MESICNE;1994-04-27;NRI account
32;5;POPLATEK MESICNE;1995-08-28;Savings account
33;22;POPLATEK MESICNE;1993-08-26;Salary account
34;67;POPLATEK TYDNE;1993-09-17;Savings account
35;75;POPLATEK MESICNE;1993-07-07;Savings account
36;1;POPLATEK MESICNE;1993-07-01;Salary account
37;20;POPLATEK MESICNE;1997-08-18;Salary account
38;19;POPLATEK TYDNE;1997-08-08;Salary account
39;36;POPLATEK MESICNE;1993-09-22;NRI account
40;64;POPLATEK MESICNE;1993-10-25;Savings account
41;72;POPLATEK MESICNE;1997-08-02;Salary account
42;39;POPLATEK MESICNE;1996-08-16;NRI account
43;36;POPLATEK MESICNE;1994-06-12;NRI account
44;32;POPLATEK MESICNE;1993-05-10;NRI account
45;64;POPLATEK MESICNE;1997-09-02;Salary account
47;45;POPLATEK MESICNE;1993-08-08;NRI account
48;21;POPLATEK MESICNE;1996-11-17;Savings account
49;1;POPLATEK MESICNE;1997-04-06;Salary account
50;1;POPLATEK MESICNE;1994-05-06;NRI account
51;67;POPLATEK MESICNE;1996-05-11;Salary account
52;16;POPLATEK MESICNE;1997-01-29;Savings account
53;77;POPLATEK MESICNE;1995-06-07;Salary account
54;4;POPLATEK MESICNE;1995-05-02;NRI account
55;20;POPLATEK MESICNE;1996-02-19;NRI account
56;50;POPLATEK MESICNE;1994-05-16;Savings account
57;1;POPLATEK MESICNE;1995-05-21;Savings account
58;29;POPLATEK MESICNE;1996-08-23;NRI account
59;43;POPLATEK MESICNE;1994-03-27;Savings account
61;70;POPLATEK MESICNE;1993-12-11;Savings account
62;47;POPLATEK MESICNE;1993-03-28;NRI account
63;22;POPLATEK MESICNE;1996-11-16;Salary account
64;64;POPLATEK MESICNE;1997-03-11;Savings account
65;36;POPLATEK MESICNE;1996-10-29;Savings account
66;48;POPLATEK PO OBRATU;1993-12-03;NRI account
67;16;POPLATEK MESICNE;1994-10-19;NRI account
68;37;POPLATEK PO OBRATU;1994-12-20;Salary account
69;64;POPLATEK MESICNE;1996-01-12;NRI account
70;8;POPLATEK MESICNE;1995-02-18;Salary account
71;1;POPLATEK MESICNE;1994-03-05;Savings account
72;1;POPLATEK TYDNE;1996-06-20;NRI account
73;72;POPLATEK MESICNE;1993-11-08;Salary account
75;1;POPLATEK MESICNE;1995-08-13;Salary account
76;52;POPLATEK MESICNE;1996-05-16;NRI account
77;63;POPLATEK MESICNE;1996-11-19;Savings account
78;74;POPLATEK MESICNE;1993-07-07;NRI account
79;3;POPLATEK MESICNE;1996-11-29;NRI account
80;43;POPLATEK MESICNE;1995-09-27;Salary account
81;74;POPLATEK MESICNE;1996-07-18;Salary account
82;26;POPLATEK MESICNE;1994-05-03;NRI account
83;26;POPLATEK MESICNE;1993-04-16;Savings account
84;44;POPLATEK PO OBRATU;1995-12-25;Salary account
85;68;POPLATEK MESICNE;1997-03-23;Savings account
86;54;POPLATEK MESICNE;1993-03-07;Salary account
88;31;POPLATEK MESICNE;1996-07-03;Savings account
89;68;POPLATEK MESICNE;1997-09-25;NRI account
90;1;POPLATEK MESICNE;1994-07-13;NRI account
91;17;POPLATEK MESICNE;1996-11-06;NRI account
93;2;POPLATEK MESICNE;1996-06-12;Savings account
95;1;POPLATEK MESICNE;1995-03-30;Salary account
96;68;POPLATEK MESICNE;1993-02-18;NRI account
97;74;POPLATEK MESICNE;1996-05-05;NRI account
98;55;POPLATEK MESICNE;1997-05-02;Salary account
99;1;POPLATEK MESICNE;1995-06-27;Savings account
100;41;POPLATEK MESICNE;1993-12-28;Savings account
101;35;POPLATEK MESICNE;1996-04-16;Salary account
102;11;POPLATEK MESICNE;1993-10-16;Salary account
103;44;POPLATEK MESICNE;1996-03-10;Salary account
104;37;POPLATEK MESICNE;1993-04-15;Salary account
105;21;POPLATEK MESICNE;1997-07-10;Savings account
106;63;POPLATEK MESICNE;1994-11-27;Salary account
107;64;POPLATEK MESICNE;1993-11-05;Savings account
108;53;POPLATEK MESICNE;1995-03-10;Savings account
109;53;POPLATEK MESICNE;1997-04-20;Savings account
110;36;POPLATEK MESICNE;1996-07-17;Salary account
112;6;POPLATEK MESICNE;1993-03-12;Salary account
113;55;POPLATEK MESICNE;1996-07-22;Savings account
114;60;POPLATEK MESICNE;1997-03-14;Salary account
115;68;POPLATEK MESICNE;1993-03-19;Savings account
116;8;POPLATEK MESICNE;1996-03-21;Savings account
117;31;POPLATEK MESICNE;1993-09-05;Savings account
118;68;POPLATEK MESICNE;1997-09-18;NRI account
119;27;POPLATEK MESICNE;1993-05-25;NRI account
120;65;POPLATEK TYDNE;1995-06-16;Savings account
121;55;POPLATEK MESICNE;1997-10-11;NRI account
122;31;POPLATEK MESICNE;1996-10-30;Savings account
123;21;POPLATEK MESICNE;1993-03-13;Salary account
124;55;POPLATEK MESICNE;1997-12-28;Salary account
125;2;POPLATEK PO OBRATU;1996-09-07;NRI account
126;5;POPLATEK MESICNE;1993-10-23;Salary account
127;29;POPLATEK MESICNE;1994-02-02;NRI account
128;2;POPLATEK MESICNE;1993-02-19;Savings account
129;74;POPLATEK MESICNE;1997-10-01;Savings account
130;54;POPLATEK MESICNE;1997-02-12;Salary account
131;52;POPLATEK MESICNE;1995-06-13;Savings account
132;40;POPLATEK PO OBRATU;1996-05-11;NRI account
133;64;POPLATEK TYDNE;1997-10-11;Savings account
134;34;POPLATEK MESICNE;1997-12-10;Salary account
135;75;POPLATEK MESICNE;1993-06-15;Savings account
136;74;POPLATEK MESICNE;1996-05-14;NRI account
137;70;POPLATEK MESICNE;1996-07-19;NRI account
138;22;POPLATEK MESICNE;1995-09-19;NRI account
139;38;POPLATEK TYDNE;1997-05-15;Salary account
140;24;POPLATEK MESICNE;1996-06-25;Salary account
141;38;POPLATEK MESICNE;1996-03-06;Savings account
142;51;POPLATEK MESICNE;1993-02-15;Salary account
143;21;POPLATEK MESICNE;1996-11-27;NRI account
144;10;POPLATEK TYDNE;1997-04-03;Salary account
145;31;POPLATEK MESICNE;1996-01-03;Savings account
146;4;POPLATEK MESICNE;1993-09-02;NRI account
148;8;POPLATEK MESICNE;1993-06-21;NRI account
149;43;POPLATEK MESICNE;1997-11-16;NRI account
150;73;POPLATEK MESICNE;1995-03-16;NRI account
151;76;POPLATEK MESICNE;1993-09-06;Salary account
152;1;POPLATEK MESICNE;1996-04-12;Salary account
153;77;POPLATEK MESICNE;1993-09-19;NRI account
154;46;POPLATEK MESICNE;1994-06-21;Salary account
155;58;POPLATEK MESICNE;1995-11-07;Savings account
156;64;POPLATEK MESICNE;1997-10-22;Savings account
157;11;POPLATEK MESICNE;1997-03-28;Savings account
158;37;POPLATEK MESICNE;1995-03-15;Savings account
159;70;POPLATEK MESICNE;1997-02-11;Salary account
160;23;POPLATEK MESICNE;1993-09-04;Salary account
161;28;POPLATEK MESICNE;1994-07-04;NRI account
162;60;POPLATEK MESICNE;1993-08-25;NRI account
163;30;POPLATEK MESICNE;1993-01-27;NRI account
164;60;POPLATEK MESICNE;1996-09-13;NRI account
165;25;POPLATEK MESICNE;1993-06-01;NRI account
166;17;POPLATEK MESICNE;1996-08-20;Salary account
167;29;POPLATEK TYDNE;1996-02-26;Salary account
168;31;POPLATEK MESICNE;1993-04-27;Savings account
169;4;POPLATEK MESICNE;1995-09-28;NRI account
170;59;POPLATEK MESICNE;1996-07-02;Savings account
171;46;POPLATEK MESICNE;1996-06-08;Salary account
172;13;POPLATEK MESICNE;1993-08-30;Savings account
173;66;POPLATEK MESICNE;1993-11-26;Savings account
174;52;POPLATEK MESICNE;1996-09-04;NRI account
176;71;POPLATEK TYDNE;1996-08-12;Salary account
177;1;POPLATEK MESICNE;1997-09-26;NRI account
178;59;POPLATEK MESICNE;1997-09-06;Salary account
179;1;POPLATEK TYDNE;1997-09-22;Savings account
180;55;POPLATEK TYDNE;1993-12-14;Salary account
181;21;POPLATEK MESICNE;1996-06-11;Savings account
182;47;POPLATEK MESICNE;1996-08-24;Salary account
183;43;POPLATEK MESICNE;1993-12-12;Savings account
184;77;POPLATEK MESICNE;1996-02-21;Salary account
